DSAC
Консоль:
Ep   10 | Reward:  -431.1 | Avg100:  -244.5 | Best:  -114.2 | Steps: 103 | Loss: 0.4114
Ep   20 | Reward:  -235.6 | Avg100:  -180.4 | Best:    20.7 | Steps:  89 | Loss: 0.4009
Ep   30 | Reward:  -113.6 | Avg100:  -169.0 | Best:    20.7 | Steps:  67 | Loss: 0.3298
Ep   40 | Reward:  -323.0 | Avg100:  -168.1 | Best:    20.7 | Steps: 103 | Loss: 0.1582
Ep   50 | Reward:  -404.5 | Avg100:  -171.5 | Best:    20.7 | Steps: 107 | Loss: -0.0466
Ep   60 | Reward:  -237.3 | Avg100:  -167.4 | Best:    20.7 | Steps: 102 | Loss: 0.1739
Ep   70 | Reward:   -68.1 | Avg100:  -173.7 | Best:    20.7 | Steps: 119 | Loss: 0.8327
Ep   80 | Reward:  -279.6 | Avg100:  -182.2 | Best:    20.7 | Steps:  80 | Loss: 0.0426
Ep   90 | Reward:  -108.3 | Avg100:  -178.0 | Best:    20.7 | Steps:  70 | Loss: 0.4287
Ep  100 | Reward:  -103.0 | Avg100:  -175.6 | Best:    20.7 | Steps:  83 | Loss: 0.2852
Ep  110 | Reward:  -222.7 | Avg100:  -167.5 | Best:    20.7 | Steps: 138 | Loss: 0.3361
Ep  120 | Reward:  -311.5 | Avg100:  -169.1 | Best:    20.7 | Steps: 123 | Loss: 0.2437
Ep  130 | Reward:  -261.3 | Avg100:  -180.8 | Best:    20.7 | Steps:  96 | Loss: 0.5517
Ep  140 | Reward:   -55.4 | Avg100:  -182.9 | Best:    20.7 | Steps:  74 | Loss: 0.5239
Ep  150 | Reward:   -32.8 | Avg100:  -179.3 | Best:    20.7 | Steps: 152 | Loss: -0.0417
Ep  160 | Reward:  -193.8 | Avg100:  -180.3 | Best:    20.7 | Steps: 131 | Loss: 0.5250
Ep  170 | Reward:   -53.0 | Avg100:  -175.5 | Best:    20.7 | Steps:  96 | Loss: 0.3106
Ep  180 | Reward:   -72.4 | Avg100:  -160.9 | Best:    20.7 | Steps: 102 | Loss: 0.3583
Ep  190 | Reward:  -199.3 | Avg100:  -161.1 | Best:    20.7 | Steps: 107 | Loss: -0.2793
Ep  200 | Reward:  -240.4 | Avg100:  -168.2 | Best:    20.7 | Steps: 102 | Loss: 0.2708
Ep  210 | Reward:  -356.7 | Avg100:  -176.8 | Best:    20.7 | Steps: 720 | Loss: 2.0528
Ep  220 | Reward:  -219.9 | Avg100:  -178.0 | Best:    29.2 | Steps: 146 | Loss: 0.4671
Ep  230 | Reward:  -229.8 | Avg100:  -169.5 | Best:    29.2 | Steps: 124 | Loss: -0.1139
Ep  240 | Reward:   -30.7 | Avg100:  -163.3 | Best:    29.2 | Steps: 131 | Loss: 0.0975
Ep  250 | Reward:   -42.8 | Avg100:  -159.9 | Best:    29.2 | Steps: 124 | Loss: 0.3975
Ep  260 | Reward:  -246.1 | Avg100:  -160.8 | Best:    29.2 | Steps: 138 | Loss: 0.1129
Ep  270 | Reward:   -87.4 | Avg100:  -162.1 | Best:    29.2 | Steps: 134 | Loss: 0.4241
Ep  280 | Reward:  -234.9 | Avg100:  -161.3 | Best:    29.2 | Steps: 273 | Loss: 1.1288
Ep  290 | Reward:  -290.3 | Avg100:  -161.4 | Best:    29.2 | Steps: 166 | Loss: 0.3601
Ep  300 | Reward:    29.9 | Avg100:  -154.1 | Best:    29.9 | Steps: 157 | Loss: 0.1013
Ep  310 | Reward:  -282.1 | Avg100:  -146.0 | Best:    29.9 | Steps: 189 | Loss: 0.3621
Ep  320 | Reward:   -82.1 | Avg100:  -148.0 | Best:    29.9 | Steps: 122 | Loss: -0.0928
Ep  330 | Reward:    12.7 | Avg100:  -146.1 | Best:    29.9 | Steps: 120 | Loss: 0.0771
Ep  340 | Reward:  -296.3 | Avg100:  -142.3 | Best:    29.9 | Steps: 158 | Loss: 0.2784
Ep  350 | Reward:   -68.4 | Avg100:  -141.7 | Best:    29.9 | Steps: 187 | Loss: -0.1303
Ep  360 | Reward:  -313.6 | Avg100:  -139.7 | Best:    29.9 | Steps: 519 | Loss: 1.6619
Ep  370 | Reward:  -269.4 | Avg100:  -132.7 | Best:    29.9 | Steps: 390 | Loss: -0.1033
Ep  380 | Reward:   -43.1 | Avg100:  -139.7 | Best:    29.9 | Steps: 141 | Loss: 0.0331
Ep  390 | Reward:  -159.2 | Avg100:  -144.7 | Best:    29.9 | Steps: 238 | Loss: 0.5448
Ep  400 | Reward:  -356.6 | Avg100:  -148.7 | Best:    29.9 | Steps: 156 | Loss: 0.0993
Ep  410 | Reward:  -137.0 | Avg100:  -149.9 | Best:    29.9 | Steps: 256 | Loss: -0.3154
Ep  420 | Reward:  -203.6 | Avg100:  -143.2 | Best:    36.2 | Steps: 173 | Loss: 0.4321
Ep  430 | Reward:   -58.4 | Avg100:  -143.9 | Best:    36.2 | Steps: 185 | Loss: -0.1093
Ep  440 | Reward:   -43.9 | Avg100:  -150.7 | Best:    36.2 | Steps: 186 | Loss: -0.1180
Ep  450 | Reward:   -11.7 | Avg100:  -149.0 | Best:    36.2 | Steps: 111 | Loss: 0.0281
Ep  460 | Reward:  -396.4 | Avg100:  -152.1 | Best:    36.2 | Steps: 151 | Loss: -0.0341
Ep  470 | Reward:  -219.8 | Avg100:  -149.8 | Best:    36.2 | Steps: 266 | Loss: 0.8311
Ep  480 | Reward:   -21.2 | Avg100:  -141.1 | Best:    36.2 | Steps: 173 | Loss: -0.0714
Ep  490 | Reward:  -275.4 | Avg100:  -139.5 | Best:    36.2 | Steps: 456 | Loss: 0.1111
Ep  500 | Reward:  -359.8 | Avg100:  -142.0 | Best:    36.2 | Steps: 539 | Loss: 0.3984
Ep  510 | Reward:  -267.9 | Avg100:  -142.8 | Best:    36.2 | Steps: 531 | Loss: 0.9565
Ep  520 | Reward:  -192.4 | Avg100:  -156.0 | Best:    36.2 | Steps: 643 | Loss: 0.6646
Ep  530 | Reward:  -169.0 | Avg100:  -159.1 | Best:    36.2 | Steps: 140 | Loss: -0.1167
Ep  540 | Reward:   -51.2 | Avg100:  -159.3 | Best:    36.2 | Steps: 162 | Loss: -0.2084
Ep  550 | Reward:   -32.3 | Avg100:  -162.0 | Best:    36.2 | Steps: 155 | Loss: -0.1577
Ep  560 | Reward:  -188.9 | Avg100:  -157.7 | Best:    36.2 | Steps: 214 | Loss: 0.3798
Ep  570 | Reward:    -5.4 | Avg100:  -161.5 | Best:    36.2 | Steps: 148 | Loss: -0.2350
Ep  580 | Reward:   -49.0 | Avg100:  -163.1 | Best:    36.2 | Steps: 100 | Loss: -0.4500
Ep  590 | Reward:   -53.9 | Avg100:  -149.0 | Best:    36.2 | Steps: 1000 | Loss: 0.4890
Ep  600 | Reward:  -371.2 | Avg100:  -137.4 | Best:    36.2 | Steps: 600 | Loss: 0.2797
Ep  610 | Reward:    16.8 | Avg100:  -126.5 | Best:    36.2 | Steps: 116 | Loss: -0.2262
Ep  620 | Reward:   -53.2 | Avg100:  -122.0 | Best:    36.2 | Steps: 1000 | Loss: 0.4915
Ep  630 | Reward:  -100.6 | Avg100:  -107.6 | Best:    53.6 | Steps: 267 | Loss: 0.0004
Ep  640 | Reward:    -4.1 | Avg100:   -96.5 | Best:    57.6 | Steps: 1000 | Loss: 0.3841
Ep  650 | Reward:    77.1 | Avg100:   -85.6 | Best:    77.1 | Steps: 187 | Loss: -0.4843
Ep  660 | Reward:    36.6 | Avg100:   -74.8 | Best:    77.1 | Steps:  92 | Loss: -0.3600
Ep  670 | Reward:     8.5 | Avg100:   -65.9 | Best:    77.1 | Steps: 103 | Loss: 0.3037
Ep  680 | Reward:  -223.1 | Avg100:   -63.4 | Best:    77.1 | Steps: 489 | Loss: 1.0338
Ep  690 | Reward:    27.7 | Avg100:   -60.4 | Best:    77.1 | Steps: 1000 | Loss: 0.5314
Ep  700 | Reward:    25.8 | Avg100:   -56.5 | Best:    77.1 | Steps: 1000 | Loss: 0.5178
Ep  710 | Reward:   -82.2 | Avg100:   -55.6 | Best:    77.1 | Steps: 1000 | Loss: 0.2654
Ep  720 | Reward:   -13.4 | Avg100:   -42.2 | Best:    77.1 | Steps: 1000 | Loss: 0.3184
